config,load,rep,pl1_set,pl1_actual,window_us,fans,bdprochot,bogo_ops_s,mhz_sustained,temp_avg,temp_max,watts_avg,fan1_rpm,fan2_rpm,cooldown_s,cooldown_temp,pct_PROCHOT,pct_thermal,pct_vr_therm,pct_vr_tdc_current,pct_pl1,pct_pl2
baseline-100W,matrixprod,1,100,100,27983872,auto,True,5807.411662,2575,93,100,46.4,4948,4595,0,58,27,68,0,0,0,0
baseline-100W,matrixprod,2,100,100,27983872,auto,True,5907.35531,2847,95,100,46.7,5924,5485,30,60,18,77,0,0,0,0
baseline-100W,matrixprod,3,100,100,27983872,auto,True,5994.868505,3074,96,100,47.9,5922,5484,20,61,13,83,0,0,0,0
pl1-55W,matrixprod,1,55,55,999424,auto,True,6258.537621,3165,96,100,48.6,5899,5486,20,61,8,63,0,0,23,0
pl1-55W,matrixprod,2,55,55,999424,auto,True,6326.434355,3077,96,100,49.4,5900,5485,25,59,13,60,0,0,22,0
pl1-55W,matrixprod,3,55,55,999424,auto,True,6252.482463,2891,96,100,49.1,5898,5485,20,61,18,53,0,0,23,0
pl1-45W,matrixprod,1,45,45,999424,auto,True,6498.986998,3172,91,94,45.3,5898,5507,20,61,0,0,0,0,98,0
pl1-45W,matrixprod,2,45,45,999424,auto,True,6478.354422,3215,93,96,45.4,5924,5487,20,60,0,0,0,0,98,0
pl1-45W,matrixprod,3,45,45,999424,auto,True,6476.319398,3207,94,98,45.4,5627,5195,25,60,0,0,0,0,98,0
pl1-40W,matrixprod,1,40,40,999424,auto,True,6009.359736,3015,90,95,40.3,4088,3805,25,60,0,0,0,0,98,0
pl1-40W,matrixprod,2,40,40,999424,auto,True,6051.799767,3066,94,98,40.4,4275,3936,40,61,0,0,0,0,98,0
pl1-40W,matrixprod,3,40,40,999424,auto,True,6200.356119,3043,95,98,40.3,4500,4135,45,61,0,0,0,0,98,0
pl1-35W,matrixprod,1,35,35,999424,auto,True,5893.532949,2874,91,95,35.3,3489,3230,45,62,0,0,0,0,100,0
pl1-35W,matrixprod,2,35,35,999424,auto,True,5814.581155,2872,91,95,35.3,3522,3258,65,62,0,0,0,0,98,0
pl1-35W,matrixprod,3,35,35,999424,auto,True,5886.850851,2877,91,95,35.3,3645,3354,65,62,0,0,0,0,98,0
pl1-45W+fansmax,matrixprod,1,45,45,999424,max,True,6486.943308,3205,93,96,45.4,5873,5480,30,60,0,0,0,0,100,0
pl1-45W+fansmax,matrixprod,2,45,45,999424,max,True,6474.863524,3197,92,95,45.4,5896,5482,25,60,0,0,0,0,100,0
pl1-45W+fansmax,matrixprod,3,45,45,999424,max,True,6534.766736,3148,92,96,45.4,5946,5481,15,62,0,0,0,0,98,0
pl1-45W+nobdprochot,matrixprod,1,45,45,999424,auto,False,6446.116453,3137,98,100,44.9,4841,4448,40,62,0,38,0,0,60,0
pl1-45W+nobdprochot,matrixprod,2,45,45,999424,auto,False,6595.456841,3140,97,100,45.4,5094,4705,35,61,0,8,0,0,90,0
pl1-45W+nobdprochot,matrixprod,3,45,45,999424,auto,False,6510.933044,3144,96,100,45.4,4957,4631,40,61,0,0,0,0,98,0
pl1-45W+fansmax+nobdp,matrixprod,1,45,45,999424,max,False,6419.686719,3205,92,95,45.4,5896,5482,30,60,0,0,0,0,98,0
pl1-45W+fansmax+nobdp,matrixprod,2,45,45,999424,max,False,6534.749483,3192,92,94,45.4,5924,5502,20,60,0,0,0,0,98,0
pl1-45W+fansmax+nobdp,matrixprod,3,45,45,999424,max,False,6480.813475,3199,91,94,45.4,5924,5504,25,59,0,0,0,0,100,0
baseline+nobdprochot,matrixprod,1,100,100,27983872,auto,False,6613.066837,3141,100,100,47.4,5009,4646,35,62,0,98,0,0,0,0
baseline+nobdprochot,matrixprod,2,100,100,27983872,auto,False,6797.924435,3232,100,100,51.4,5896,5477,30,62,0,98,0,0,0,0
baseline+nobdprochot,matrixprod,3,100,100,27983872,auto,False,6823.85852,3300,100,100,52.1,5922,5479,25,61,0,98,0,0,0,0
baseline-100W,int64,1,100,100,27983872,auto,True,18396.692625,3403,98,100,44.8,5944,5480,25,61,8,92,0,0,0,0
baseline-100W,int64,2,100,100,27983872,auto,True,18399.900615,3287,96,100,44.8,5898,5480,15,62,12,87,0,0,0,0
baseline-100W,int64,3,100,100,27983872,auto,True,18228.7253,3301,96,100,44.5,5897,5484,15,61,12,87,0,0,0,0
baseline-100W,all,1,100,100,27983872,auto,True,10462.998247,2806,95,100,45.9,5922,5482,20,59,16,77,0,0,0,0
baseline-100W,all,2,100,100,27983872,auto,True,10532.030543,2659,93,100,46.4,5946,5484,15,62,22,72,0,0,0,0
baseline-100W,all,3,100,100,27983872,auto,True,10536.973703,2697,94,100,46.3,5922,5484,15,62,18,78,0,0,0,0
pl1-45W,int64,1,45,45,999424,auto,True,19718.635491,3602,97,100,45.3,5949,5486,20,60,0,2,0,0,98,0
pl1-45W,int64,2,45,45,999424,auto,True,19722.097567,3616,97,100,45.3,5973,5485,20,60,0,2,0,0,97,0
pl1-45W,int64,3,45,45,999424,auto,True,19678.002692,3612,97,100,45.3,5901,5486,15,61,0,2,0,0,97,0
pl1-45W,all,1,45,45,999424,auto,True,11414.301616,3179,94,99,45.3,5924,5485,20,60,0,0,0,0,98,0
pl1-45W,all,2,45,45,999424,auto,True,11413.353218,3126,95,97,45.3,5902,5506,20,59,0,0,0,0,98,0
pl1-45W,all,3,45,45,999424,auto,True,11363.170581,3165,95,98,45.3,5903,5504,20,61,0,0,0,0,98,0
